x,y,z,phi,theta
24.7448653175376,0,-737.16489519576,0,10
-12.3724326587688,21.429681978212,-737.16489519576,120,10
0,0,-715,0,0
-6.20984667077064,-10.7557699409872,-715.542255521926,-120,5
12.4196933415413,0,-715.542255521926,0,5
-6.20984667077064,10.7557699409872,-715.542255521926,120,5
-12.3724326587688,-21.429681978212,-717.16489519576,-120,10
24.7448653175376,0,-717.16489519576,0,10
-12.3724326587688,21.429681978212,-717.16489519576,120,10
0,0,-695,0,0
-6.20984667077064,-10.7557699409872,-695.542255521926,-120,5
12.4196933415413,0,-695.542255521926,0,5
-6.20984667077064,10.7557699409872,-695.542255521926,120,5
-12.3724326587688,-21.429681978212,-697.16489519576,-120,10
24.7448653175376,0,-697.16489519576,0,10
-12.3724326587688,21.429681978212,-697.16489519576,120,10
0,20,-775,0,0
-6.20984667077064,9.2442300590128,-775.542255521926,-120,5
12.4196933415413,20,-775.542255521926,0,5
-6.20984667077064,30.7557699409872,-775.542255521926,120,5
-12.3724326587688,-1.42968197821203,-777.16489519576,-120,10
24.7448653175376,20,-777.16489519576,0,10
-12.3724326587688,41.429681978212,-777.16489519576,120,10
0,20,-755,0,0
-6.20984667077064,9.2442300590128,-755.542255521926,-120,5
12.4196933415413,20,-755.542255521926,0,5
-6.20984667077064,30.7557699409872,-755.542255521926,120,5
-12.3724326587688,-1.42968197821203,-757.16489519576,-120,10
24.7448653175376,20,-757.16489519576,0,10
-12.3724326587688,41.429681978212,-757.16489519576,120,10
0,20,-735,0,0
-6.20984667077064,9.2442300590128,-735.542255521926,-120,5
12.4196933415413,20,-735.542255521926,0,5
-6.20984667077064,30.7557699409872,-735.542255521926,120,5
-12.3724326587688,-1.42968197821203,-737.16489519576,-120,10
24.7448653175376,20,-737.16489519576,0,10
-12.3724326587688,41.429681978212,-737.16489519576,120,10
0,20,-715,0,0
-6.20984667077064,9.2442300590128,-715.542255521926,-120,5
12.4196933415413,20,-715.542255521926,0,5
-6.20984667077064,30.7557699409872,-715.542255521926,120,5
-12.3724326587688,-1.42968197821203,-717.16489519576,-120,10
24.7448653175376,20,-717.16489519576,0,10
-12.3724326587688,41.429681978212,-717.16489519576,120,10
0,20,-695,0,0
-6.20984667077064,9.2442300590128,-695.542255521926,-120,5
12.4196933415413,20,-695.542255521926,0,5
-6.20984667077064,30.7557699409872,-695.542255521926,120,5
-12.3724326587688,-1.42968197821203,-697.16489519576,-120,10
24.7448653175376,20,-697.16489519576,0,10
-12.3724326587688,41.429681978212,-697.16489519576,120,10
0,40,-755,0,0
-6.20984667077064,29.2442300590128,-755.542255521926,-120,5
12.4196933415413,40,-755.542255521926,0,5
-6.20984667077064,50.7557699409872,-755.542255521926,120,5
-12.3724326587688,18.570318021788,-757.16489519576,-120,10
24.7448653175376,40,-757.16489519576,0,10
-12.3724326587688,61.429681978212,-757.16489519576,120,10
0,40,-735,0,0
-6.20984667077064,29.2442300590128,-735.542255521926,-120,5
12.4196933415413,40,-735.542255521926,0,5
-6.20984667077064,50.7557699409872,-735.542255521926,120,5
-12.3724326587688,18.570318021788,-737.16489519576,-120,10
24.7448653175376,40,-737.16489519576,0,10
-12.3724326587688,61.429681978212,-737.16489519576,120,10
0,40,-715,0,0
-6.20984667077064,29.2442300590128,-715.542255521926,-120,5
12.4196933415413,40,-715.542255521926,0,5
-6.20984667077064,50.7557699409872,-715.542255521926,120,5
-12.3724326587688,18.570318021788,-717.16489519576,-120,10
24.7448653175376,40,-717.16489519576,0,10
-12.3724326587688,61.429681978212,-717.16489519576,120,10
20,-40,-755,0,0
13.7901533292294,-50.7557699409872,-755.542255521926,-120,5
32.4196933415413,-40,-755.542255521926,0,5
13.7901533292294,-29.2442300590128,-755.542255521926,120,5
7.62756734123121,-61.429681978212,-757.16489519576,-120,10
44.7448653175376,-40,-757.16489519576,0,10
7.62756734123121,-18.570318021788,-757.16489519576,120,10
20,-40,-735,0,0
13.7901533292294,-50.7557699409872,-735.542255521926,-120,5
32.4196933415413,-40,-735.542255521926,0,5
13.7901533292294,-29.2442300590128,-735.542255521926,120,5
7.62756734123121,-61.429681978212,-737.16489519576,-120,10
44.7448653175376,-40,-737.16489519576,0,10
7.62756734123121,-18.570318021788,-737.16489519576,120,10
20,-40,-715,0,0
13.7901533292294,-50.7557699409872,-715.542255521926,-120,5
32.4196933415413,-40,-715.542255521926,0,5
13.7901533292294,-29.2442300590128,-715.542255521926,120,5
7.62756734123121,-61.429681978212,-717.16489519576,-120,10
44.7448653175376,-40,-717.16489519576,0,10
7.62756734123121,-18.570318021788,-717.16489519576,120,10
20,-20,-775,0,0
13.7901533292294,-30.7557699409872,-775.542255521926,-120,5
32.4196933415413,-20,-775.542255521926,0,5
13.7901533292294,-9.2442300590128,-775.542255521926,120,5
7.62756734123121,-41.429681978212,-777.16489519576,-120,10
44.7448653175376,-20,-777.16489519576,0,10
7.62756734123121,1.42968197821203,-777.16489519576,120,10
20,-20,-755,0,0
13.7901533292294,-30.7557699409872,-755.542255521926,-120,5
32.4196933415413,-20,-755.542255521926,0,5
13.7901533292294,-9.2442300590128,-755.542255521926,120,5
7.62756734123121,-41.429681978212,-757.16489519576,-120,10
44.7448653175376,-20,-757.16489519576,0,10
7.62756734123121,1.42968197821203,-757.16489519576,120,10
20,-20,-735,0,0
13.7901533292294,-30.7557699409872,-735.542255521926,-120,5
32.4196933415413,-20,-735.542255521926,0,5
13.7901533292294,-9.2442300590128,-735.542255521926,120,5
7.62756734123121,-41.429681978212,-737.16489519576,-120,10
44.7448653175376,-20,-737.16489519576,0,10
7.62756734123121,1.42968197821203,-737.16489519576,120,10
20,-20,-715,0,0
13.7901533292294,-30.7557699409872,-715.542255521926,-120,5
32.4196933415413,-20,-715.542255521926,0,5
13.7901533292294,-9.2442300590128,-715.542255521926,120,5
7.62756734123121,-41.429681978212,-717.16489519576,-120,10
44.7448653175376,-20,-717.16489519576,0,10
7.62756734123121,1.42968197821203,-717.16489519576,120,10
20,-20,-695,0,0
13.7901533292294,-30.7557699409872,-695.542255521926,-120,5
32.4196933415413,-20,-695.542255521926,0,5
13.7901533292294,-9.2442300590128,-695.542255521926,120,5
7.62756734123121,-41.429681978212,-697.16489519576,-120,10
44.7448653175376,-20,-697.16489519576,0,10
7.62756734123121,1.42968197821203,-697.16489519576,120,10
20,0,-775,0,0
13.7901533292294,-10.7557699409872,-775.542255521926,-120,5
32.4196933415413,0,-775.542255521926,0,5
13.7901533292294,10.7557699409872,-775.542255521926,120,5
7.62756734123121,-21.429681978212,-777.16489519576,-120,10
44.7448653175376,0,-777.16489519576,0,10
7.62756734123121,21.429681978212,-777.16489519576,120,10
20,0,-755,0,0
13.7901533292294,-10.7557699409872,-755.542255521926,-120,5
32.4196933415413,0,-755.542255521926,0,5
13.7901533292294,10.7557699409872,-755.542255521926,120,5
7.62756734123121,-21.429681978212,-757.16489519576,-120,10
44.7448653175376,0,-757.16489519576,0,10
7.62756734123121,21.429681978212,-757.16489519576,120,10
20,0,-735,0,0
13.7901533292294,-10.7557699409872,-735.542255521926,-120,5
32.4196933415413,0,-735.542255521926,0,5
13.7901533292294,10.7557699409872,-735.542255521926,120,5
7.62756734123121,-21.429681978212,-737.16489519576,-120,10
44.7448653175376,0,-737.16489519576,0,10
7.62756734123121,21.429681978212,-737.16489519576,120,10
20,0,-715,0,0
13.7901533292294,-10.7557699409872,-715.542255521926,-120,5
32.4196933415413,0,-715.542255521926,0,5
13.7901533292294,10.7557699409872,-715.542255521926,120,5
7.62756734123121,-21.429681978212,-717.16489519576,-120,10
44.7448653175376,0,-717.16489519576,0,10
7.62756734123121,21.429681978212,-717.16489519576,120,10
20,0,-695,0,0
13.7901533292294,-10.7557699409872,-695.542255521926,-120,5
32.4196933415413,0,-695.542255521926,0,5
13.7901533292294,10.7557699409872,-695.542255521926,120,5
7.62756734123121,-21.429681978212,-697.16489519576,-120,10
44.7448653175376,0,-697.16489519576,0,10
7.62756734123121,21.429681978212,-697.16489519576,120,10
20,20,-775,0,0
13.7901533292294,9.2442300590128,-775.542255521926,-120,5
32.4196933415413,20,-775.542255521926,0,5
13.7901533292294,30.7557699409872,-775.542255521926,120,5
7.62756734123121,-1.42968197821203,-777.16489519576,-120,10
44.7448653175376,20,-777.16489519576,0,10
7.62756734123121,41.429681978212,-777.16489519576,120,10
20,20,-755,0,0
13.7901533292294,9.2442300590128,-755.542255521926,-120,5
32.4196933415413,20,-755.542255521926,0,5
13.7901533292294,30.7557699409872,-755.542255521926,120,5
7.62756734123121,-1.42968197821203,-757.16489519576,-120,10
44.7448653175376,20,-757.16489519576,0,10
7.62756734123121,41.429681978212,-757.16489519576,120,10
20,20,-735,0,0
13.7901533292294,9.2442300590128,-735.542255521926,-120,5
32.4196933415413,20,-735.542255521926,0,5
13.7901533292294,30.7557699409872,-735.542255521926,120,5
7.62756734123121,-1.42968197821203,-737.16489519576,-120,10
44.7448653175376,20,-737.16489519576,0,10
7.62756734123121,41.429681978212,-737.16489519576,120,10
20,20,-715,0,0
13.7901533292294,9.2442300590128,-715.542255521926,-120,5
32.4196933415413,20,-715.542255521926,0,5
13.7901533292294,30.7557699409872,-715.542255521926,120,5
7.62756734123121,-1.42968197821203,-717.16489519576,-120,10
44.7448653175376,20,-717.16489519576,0,10
7.62756734123121,41.429681978212,-717.16489519576,120,10
20,20,-695,0,0
13.7901533292294,9.2442300590128,-695.542255521926,-120,5
32.4196933415413,20,-695.542255521926,0,5
13.7901533292294,30.7557699409872,-695.542255521926,120,5
7.62756734123121,-1.42968197821203,-697.16489519576,-120,10
44.7448653175376,20,-697.16489519576,0,10
7.62756734123121,41.429681978212,-697.16489519576,120,10
20,40,-755,0,0
13.7901533292294,29.2442300590128,-755.542255521926,-120,5
32.4196933415413,40,-755.542255521926,0,5
13.7901533292294,50.7557699409872,-755.542255521926,120,5
7.62756734123121,18.570318021788,-757.16489519576,-120,10
44.7448653175376,40,-757.16489519576,0,10
7.62756734123121,61.429681978212,-757.16489519576,120,10
20,40,-735,0,0
13.7901533292294,29.2442300590128,-735.542255521926,-120,5
32.4196933415413,40,-735.542255521926,0,5
13.7901533292294,50.7557699409872,-735.542255521926,120,5
7.62756734123121,18.570318021788,-737.16489519576,-120,10
44.7448653175376,40,-737.16489519576,0,10
7.62756734123121,61.429681978212,-737.16489519576,120,10
20,40,-715,0,0
13.7901533292294,29.2442300590128,-715.542255521926,-120,5
32.4196933415413,40,-715.542255521926,0,5
13.7901533292294,50.7557699409872,-715.542255521926,120,5
7.62756734123121,18.570318021788,-717.16489519576,-120,10
44.7448653175376,40,-717.16489519576,0,10
7.62756734123121,61.429681978212,-717.16489519576,120,10
40,-20,-755,0,0
33.7901533292294,-30.7557699409872,-755.542255521926,-120,5
52.4196933415413,-20,-755.542255521926,0,5
33.7901533292294,-9.2442300590128,-755.542255521926,120,5
27.6275673412312,-41.429681978212,-757.16489519576,-120,10
64.7448653175376,-20,-757.16489519576,0,10
27.6275673412312,1.42968197821203,-757.16489519576,120,10
40,-20,-735,0,0
33.7901533292294,-30.7557699409872,-735.542255521926,-120,5
52.4196933415413,-20,-735.542255521926,0,5
33.7901533292294,-9.2442300590128,-735.542255521926,120,5
27.6275673412312,-41.429681978212,-737.16489519576,-120,10
64.7448653175376,-20,-737.16489519576,0,10
27.6275673412312,1.42968197821203,-737.16489519576,120,10
40,-20,-715,0,0
33.7901533292294,-30.7557699409872,-715.542255521926,-120,5
52.4196933415413,-20,-715.542255521926,0,5
33.7901533292294,-9.2442300590128,-715.542255521926,120,5
27.6275673412312,-41.429681978212,-717.16489519576,-120,10
64.7448653175376,-20,-717.16489519576,0,10
27.6275673412312,1.42968197821203,-717.16489519576,120,10
40,0,-755,0,0
